"filename", "language", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\barba\Desktop\website_ODC\assets\Group 1.svg", "XML", 0, 0, 0, 23, 0, 1, 24
"c:\Users\barba\Desktop\website_ODC\assets\Group 5.svg", "XML", 0, 0, 0, 29, 0, 1, 30
"c:\Users\barba\Desktop\website_ODC\assets\cd-arrow-bottom.svg", "XML", 0, 0, 0, 12, 1, 1, 14
"c:\Users\barba\Desktop\website_ODC\assets\costasvg.svg", "XML", 0, 0, 0, 20, 0, 1, 21
"c:\Users\barba\Desktop\website_ODC\assets\leftarrow.svg", "XML", 0, 0, 0, 22, 0, 1, 23
"c:\Users\barba\Desktop\website_ODC\assets\projetoscard.svg", "XML", 0, 0, 0, 84, 0, 1, 85
"c:\Users\barba\Desktop\website_ODC\assets\rightarrow.svg", "XML", 0, 0, 0, 22, 0, 1, 23
"c:\Users\barba\Desktop\website_ODC\assets\submarinesvg.svg", "XML", 0, 0, 0, 20, 0, 1, 21
"c:\Users\barba\Desktop\website_ODC\assets\t1.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\barba\Desktop\website_ODC\assets\t2.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\barba\Desktop\website_ODC\assets\tamarsvg.svg", "XML", 0, 0, 0, 20, 0, 1, 21
"c:\Users\barba\Desktop\website_ODC\assets\tatosvg.svg", "XML", 0, 0, 0, 20, 0, 1, 21
"c:\Users\barba\Desktop\website_ODC\assets\tintagrande.svg", "XML", 0, 0, 0, 256, 0, 1, 257
"c:\Users\barba\Desktop\website_ODC\assets\visitarbotao.svg", "XML", 0, 0, 0, 4, 0, 1, 5
"c:\Users\barba\Desktop\website_ODC\css\flickity.css", "CSS", 0, 0, 117, 0, 13, 28, 158
"c:\Users\barba\Desktop\website_ODC\css\main.css", "CSS", 0, 0, 823, 0, 56, 133, 1012
"c:\Users\barba\Desktop\website_ODC\css\style.css", "CSS", 0, 0, 242, 0, 19, 37, 298
"c:\Users\barba\Desktop\website_ODC\index.html", "HTML", 0, 626, 0, 0, 2, 65, 693
"c:\Users\barba\Desktop\website_ODC\js\flickity.pkgd.js", "JavaScript", 3183, 0, 0, 0, 1089, 825, 5097
"c:\Users\barba\Desktop\website_ODC\js\index.js", "JavaScript", 76, 0, 0, 0, 2, 41, 119
"c:\Users\barba\Desktop\website_ODC\js\jquery-2.1.1.js", "JavaScript", 6167, 0, 0, 0, 1488, 1536, 9191
"c:\Users\barba\Desktop\website_ODC\js\jquery.flip.js", "JavaScript", 275, 0, 0, 0, 35, 61, 371
"c:\Users\barba\Desktop\website_ODC\js\modernizr.js", "JavaScript", 609, 0, 0, 0, 510, 288, 1407
"Total", "-", 10310, 626, 1182, 538, 3215, 3028, 18899